Camera_Model,Serial_Number,Camera_Number,Deployment_Number,Deploy_Location,SID,US_DS,Start_Date,End_Date,Sname
Moultrie M 880,130671607001066,9,3,Bunnell Brook,19657,,122817,010918,BunnellBrook
Moultrie M 880,130671607012760,17,2,Brown Brook,16139,,122817,040218,BrownBrook
Moultrie M 880,130671607002243,18,1,Salmon Creek,14434,,122817,010918,SalmonCreek
Moultrie M 880,130671607001065,19,1,Hubbard River,15240,,122717,122717,HubbardRiver
Moultrie M 880,130671607002244,20,1,West Branch Salmon Brook,15499,,122817,040118,WestBranchSalmonBrook
Moultrie M 880,130671607002293,21,1,Pendleton Hill Brook,15796,,010318,022518,PendletonHillBrook
Moultrie M 880,130671607002293,21,2,Pendleton Hill Brook,15796,US,032218,052318,PendletonHillBrook
Moultrie M 550,127171412005269,1,3,Mount Hope River,18421,DS,032218,041118,MountHopeRiverSite1
Moultrie M 880,130671607002069,6,2,Mount Hope River,15801,DS,032218,052318,MountHopeRiver
Moultrie M 880,130671607013135,10,2,Bunnell Brook,19657,US,040218,051718,BunnellBrook
Moultrie M 880,130671607012760,17,3,Brown Brook,16139,US,040218,051018,BrownBrook
Moultrie M 880,130671607002243,18,2,Salmon Creek,14434,US,040218,040618,SalmonCreek
Moultrie M 999i,130351607003587,24,1,Hubbard River,15240,US,040218,040218,HubbardRiver
Moultrie M 880,130671607012759,15,2,Ogden Brook,19707,US,040918,052318,OgdenBrook
Moultrie M 880,130671607013136,16,2,Ogden Brook,16322,US,040918,052318,OgdenBrook
Moultrie M 880,130671607001065,19,2,Bride Brook,17534,US,040918,052318,BrideBrook
Moultrie M 880,130671607002244,20,2,East Branch Eightmile,18720,US,040918,052318,EastBranchEightmileRiver
Moultrie M 550,127171412005269,1,4,Branch Brook,19097,DS,041918,051718,BranchBrook
Moultrie M 880,130671607012901,13,3,Nonewaug River,20050,US,041918,042018,NonewaugRiver
Moultrie M 880,130671607012902,14,2,Nonewaug River,16274,US,041918,050718,NonewaugRiver
Moultrie M 880,130671607002070,7,2,Comstock Brook,19022,DS,041918,050318,ComstockBrook
Moultrie M 880,130671607002294,12,2,NNT to Hawleys Brook,18536,DS,041918,060818,NNTtoHawleysBrook
Moultrie M 880,130671607001062,11,2,NNT to Hawleys Brook,19013,DS,041918,060818,NNTtoHawleysBrook
Moultrie M 550,127171412005404,3,5,Mount Hope River,18421,DS,050818,071118,MountHopeRiverSite1
Moultrie M 550,127171412005251,4,3,Mount Hope River,18421,US,050818,071118,MountHopeRiverSite2
Moultrie M 550,127171412005259,5,3,Mount Hope River,18421,DS,050818,071118,MountHopeRiverSite3
Moultrie M 880,130671604005306,30,1,West Branch Salmon Brook,15499,US,050818,051418,WestBranchSalmonBrook
Moultrie M 999i,130351602002079,22,1,Cobble Brook,15244,DS,051018,062018,CobbleBrook
Moultrie M 999i,130351602002080,23,1,Burton Brook,14523,DS,051018,062018,BurtonBrook
Moultrie M 999i,130351602002513,25,1,Spruce Swamp Creek,15100,US,051018,062018,SpruceSwampCreek
Moultrie M 880,130671607012760,17,4,Brown Brook,16139,US,051018,062018,BrownBrook
Moultrie M 880,130671607002243,18,3,Salmon Creek,14434,US,051018,051618,SalmonCreek
Moultrie M 999i,130351602002514,26,1,Hubbard River,15240,US,051718,070318,HubbardRiver
Moultrie M 880,130671607013135,10,3,Bunnell Brook,19657,US,051718,052618,BunnellBrook
Spypoint Force,1G703-00741,29,1,Poland River,19711,US,051718,052218,PolandRiver
Moultrie M 550,127171412005269,1,5,Branch Brook,19097,DS,051718,070318,BranchBrook
Moultrie M 880,130671512008810,8,2,Nonewaug River,20050,DS,051718,060818,NonewaugRiver
Moultrie M 999i,130351602003207,27,1,Nonewaug River,16274,US,051718,060818,NonewaugRiver
Moultrie M 880,130671607002244,20,3,East Branch Eightmile,18720,US,052318,071118,EastBranchEightmileRiver
Moultrie M 880,130671607001065,19,3,Bride Brook,17534,US,052318,052618,BrideBrook
Moultrie M 880,130671607002293,21,3,Pendleton Hill Brook,15796,US,052318,071118,PendletonHillBrook
Moultrie M 880,130671607002069,6,3,Mount Hope River,15801,DS,052318,062118,MountHopeRiver
Moultrie M 880,130671607012759,15,3,Ogden Brook,19707,US,052318,071118,OgdenBrook
Moultrie M 880,130671607013136,16,3,Ogden Brook,16322,US,052318,071118,OgdenBrook
Moultrie M 880,130671607012901,13,4,Mill River,19141,DS,060118,071818,MillRiver
Moultrie M 880,130671512008810,8,3,Nonewaug River,20050,DS,060818,071818,NonewaugRiver
Moultrie M 999i,130351602003207,27,2,Nonewaug River,16274,US,060818,071818,NonewaugRiver
Moultrie M 880,130671607002294,12,3,NNT to Hawleys Brook,18536,DS,060818,071818,NNTtoHawleysBrook
Moultrie M 880,130671607001062,11,3,NNT to Hawleys Brook,19013,DS,060818,071818,NNTtoHawleysBrook
Moultrie M 999i,130351607003587,24,2,Comstock Brook,19022,DS,060818,062618,ComstockBrook
Moultrie M 999i,130351602002079,22,2,Cobble Brook,15244,DS,062018,072418,CobbleBrook
Moultrie M 999i,130351602002080,23,2,Burton Brook,14523,DS,062018,072418,BurtonBrook
Moultrie M 999i,130351602002513,25,2,Spruce Swamp Creek,15100,US,062018,072418,SpruceSwampCreek
Moultrie M 880,130671607012760,17,5,Brown Brook,16139,US,062018,072418,BrownBrook
Moultrie M 40,131811610008337,32,1,Bunnell Brook,19657,US,062018,072418,BunnellBrook
Moultrie M 999,130351602003208,28,1,Chidsey Brook,16046,US,062918,080118,ChidseyBrook
Moultrie M 550,127171412005269,1,6,Branch Brook,19097,DS,070318,080118,BranchBrook
Moultrie M 40,131811610008338,31,1,West Branch Salmon Brook,15499,US,070318,080118,WestBranchSalmonBrook
Spypoint Force,1G703-00741,29,2,Poland River,19711,US,070318,073118,PolandRiver
Moultrie M 999i,130351602002514,26,2,Hubbard River,15240,US,070318,080118,HubbardRiver
Moultrie M 550,127171412005404,3,6,Mount Hope River,18421,DS,071118,080818,MountHopeRiverSite1
Moultrie M 550,127171412005251,4,4,Mount Hope River,18421,US,071118,080818,MountHopeRiverSite2
Moultrie M 550,127171412005259,5,4,Mount Hope River,18421,DS,071118,080818,MountHopeRiverSite3
Moultrie M 880,130671607002244,20,4,East Branch Eightmile,18720,DS,071118,080818,EastBranchEightmileRiver
Moultrie M 880,130671607002293,21,4,Pendleton Hill Brook,15796,US,071118,080818,PendletonHillBrook
Moultrie M 880,130671604005306,30,2,Mount Hope River,15801,DS,071118,080818,MountHopeRiver
Moultrie M 880,130671607012759,15,4,Ogden Brook,19707,DS,071118,080818,OgdenBrook
Moultrie M 880,130671607013136,16,4,Ogden Brook,16322,US,071118,080818,OgdenBrook
Moultrie M 999i,130351602003207,27,3,Nonewaug River,16274,US,071818,081518,NonewaugRiver
Moultrie M 880,130671512009170,34,1,Comstock Brook,19022,DS,071818,081518,ComstockBrook
Moultrie M 880,130671512008810,8,4,Nonewaug River,20050,DS,071818,081518,NonewaugRiver
Moultrie M 880,130671607012901,13,5,Mill River,19141,DS,071818,081518,MillRiver
Moultrie M 880,130671607002294,12,4,NNT to Hawleys Brook,18536,DS,071818,081518,NNTtoHawleysBrook
Moultrie M 880,130671607001062,11,4,NNT to Hawleys Brook,19013,DS,071818,081518,NNTtoHawleysBrook
Moultrie M 999i,130351602002079,22,3,Cobble Brook,15244,DS,072418,082118,CobbleBrook
Moultrie M 999i,130351602002080,23,3,Burton Brook,14523,DS,072418,082118,BurtonBrook
Moultrie M 999i,130351602002513,25,3,Spruce Swamp Creek,15100,US,072418,082118,SpruceSwampCreek
Moultrie M 880,130671607012760,17,6,Brown Brook,16139,US,072418,082118,BrownBrook
Moultrie M 40,131811610008337,32,2,Bunnell Brook,19657,US,072418,082118,BunnellBrook
Moultrie M 880,130671512009169,33,1,Salmon Creek,14434,US,072418,082118,SalmonCreek
Spypoint Force,1G703-00741,29,3,Poland River,19711,US,080118,082918,PolandRiver
Moultrie M 999i,130351602002514,26,3,Hubbard River,15240,US,080118,082918,HubbardRiver
Moultrie M 550,127171412005269,1,7,Branch Brook,19097,DS,080118,082918,BranchBrook
Moultrie M 40,131811610008338,31,2,West Branch Salmon Brook,15499,US,080118,082918,WestBranchSalmonBrook
Moultrie M 999,130351602003208,28,2,Chidsey Brook,16046,US,080118,092218,ChidseyBrook
Moultrie M 550,127171412005404,3,7,Mount Hope River,18421,DS,080818,090518,MountHopeRiverSite1
Moultrie M 550,127171412005251,4,5,Mount Hope River,18421,US,080818,090518,MountHopeRiverSite2
Moultrie M 550,127171412005259,5,5,Mount Hope River,18421,DS,080818,090518,MountHopeRiverSite3
Moultrie M 880,130671607002244,20,5,East Branch Eightmile,18720,DS,080818,090518,EastBranchEightmileRiver
Moultrie M 880,130671607002293,21,5,Pendleton Hill Brook,15796,US,080818,090518,PendletonHillBrook
Moultrie M 880,130671604005306,30,3,Mount Hope River,15801,DS,080818,090518,MountHopeRiver
Moultrie M 880,130671607012759,15,5,Ogden Brook,19707,DS,080818,090518,OgdenBrook
Moultrie M 880,130671607013136,16,5,Ogden Brook,16322,US,080818,090518,OgdenBrook
Bushnell,?,38,1,Bride Brook,17534,US,080818,090518,BrideBrook
Moultrie M 999i,130351602003207,27,4,Nonewaug River,16274,US,081518,091218,NonewaugRiver
Moultrie M 880,130671512008810,8,5,Nonewaug River,20050,DS,081518,091218,NonewaugRiver
Moultrie M 880,130671512009170,34,2,Comstock Brook,19022,US,081518,091218,ComstockBrook
Moultrie M 880,130671607002294,12,5,NNT to Hawleys Brook,18536,DS,081518,091218,NNTtoHawleysBrook
Moultrie M 880,130671607001062,11,5,NNT to Hawleys Brook,19013,DS,081518,091218,NNTtoHawleysBrook
Moultrie M 880,130671607012901,13,6,Mill River,19141,DS,081518,091218,MillRiver
Moultrie M 999i,130351602002079,22,4,Cobble Brook,15244,DS,082118,091918,CobbleBrook
Moultrie M 880,130671604005590,36,1,Burton Brook,14523,US,082118,091918,BurtonBrookSite2
Moultrie M 999i,130351602002513,25,4,Spruce Swamp Creek,15100,US,082118,091918,SpruceSwampCreek
Moultrie M 880,130671607012760,17,7,Brown Brook,16139,US,082118,091918,BrownBrook
Moultrie M 880,130671604005589,35,1,Bunnell Brook,19657,US,082118,091918,BunnellBrook